Total words: 25652
Unique words: 6342
Word frequencies:
covert: 1
wood:: 1
I,: 10
measuring: 1
affections: 2
own,: 1
most: 13
busied: 1
they're: 1
alone,: 3
Pursued: 1
humour: 2
pursuing: 1
his,: 1
gladly: 2
shunn'd: 1
fled: 1
Many: 2
morning: 5
hath: 50
there: 36
seen,: 1
tears: 8
augmenting: 1
fresh: 2
dew.: 1
Adding: 1
clouds: 5
deep: 4
sighs;: 3
so: 91
soon: 11
all-cheering: 1
Should: 2
furthest: 1
east: 1
begin: 3
shady: 1
curtains: 3
Aurora's: 1
bed,: 7
Away: 3
light: 15
steals: 1
home: 4
heavy: 9
son,: 3
private: 2
chamber: 2
pens: 1
himself,: 1
Shuts: 1
windows,: 1
locks: 2
far: 6
daylight: 2
himself: 7
artificial: 1
night:: 6
Black: 1
portentous: 1
prove,: 2
Unless: 4
counsel: 3
may: 42
cause: 2
remove.: 1
noble: 8
uncle,: 2
cause?: 1
neither: 1
nor: 10
can: 34
learn: 3
him.: 16
importuned: 1
means?: 1
Both: 2
many: 11
other: 16
friends:: 1
he,: 5
own: 11
affections': 1
counsellor,: 1
himself--I: 1
how: 31
true--: 1
secret: 2
close,: 2
sounding: 1
discovery,: 1
bud: 2
bit: 1
envious: 4
worm,: 1
Ere: 5
spread: 1
sweet: 23
leaves: 1
air,: 3
dedicate: 1
beauty: 8
sun.: 3
Could: 5
whence: 2
sorrows: 2
grow.: 1
We: 17
would: 51
willingly: 1
give: 32
cure: 2
know.: 1
ROMEO: 176
See,: 3
comes:: 1
please: 2
step: 2
aside;: 1
I'll: 71
grievance,: 1
much: 27
denied.: 1
wert: 2
happy: 10
stay,: 4
true: 20
shrift.: 2
Come,: 25
madam,: 6
let's: 5
Good-morrow,: 1
cousin.: 1
day: 18
young?: 1
struck: 2
nine.: 2
Ay: 3
me!: 10
sad: 3
hours: 4
seem: 1
long.: 2
Was: 5
father: 6
went: 1
hence: 10
fast?: 1
It: 32
was.: 1
sadness: 2
lengthens: 1
Romeo's: 12
hours?: 1
Not: 14
having: 5
that,: 8
which,: 2
having,: 1
short.: 2
love?: 7
Out--: 1
Of: 28
Out: 3
her: 118
favour,: 1
love.: 12
Alas,: 4
gentle: 11
view,: 2
tyrannous: 1
rough: 4
proof!: 1
whose: 11
view: 1
muffled: 1
still,: 1
Should,: 1
without: 10
eyes,: 8
pathways: 1
will!: 1
dine?: 1
O: 78
fray: 1
here?: 5
Yet: 7
tell: 40
heard: 2
all.: 3
Here's: 6
hate,: 5
Why,: 14
then,: 11
brawling: 1
love!: 6
loving: 4
hate!: 2
thing,: 3
first: 8
create!: 1
lightness!: 1
serious: 1
vanity!: 1
Mis-shapen: 1
chaos: 1
well-seeming: 1
forms!: 1
Feather: 1
lead,: 1
bright: 4
smoke,: 1
cold: 4
fire,: 2
sick: 5
health!: 1
Still-waking: 1
sleep,: 2
is!: 2
This: 35
love: 59
no: 69
this.: 4
Dost: 3
laugh?: 1
coz,: 3
rather: 3
weep.: 2
Good: 17
heart,: 7
what?: 2
At: 7
heart's: 3
oppression.: 1
such: 41
love's: 12
transgression.: 1
Griefs: 1
mine: 19
lie: 13
breast,: 2
Which: 23
wilt: 22
propagate,: 1
prest: 1
thine:: 1
hast: 24
shown: 1
Doth: 9
add: 1
grief: 6
too: 35
own.: 3
Love: 3
smoke: 1
raised: 2
fume: 1
Being: 13
purged,: 1
sparkling: 1
lovers': 5
eyes;: 2
vex'd: 1
sea: 1
nourish'd: 1
tears:: 2
else?: 2
madness: 1
discreet,: 1
choking: 1
gall: 1
preserving: 1
sweet.: 2
Farewell,: 5
coz.: 1
Soft!: 2
along;: 1
An: 14
leave: 12
so,: 13
wrong.: 1
Tut,: 4
lost: 2
myself;: 2
here;: 3
Romeo,: 34
he's: 11
some: 44
where.: 1
Tell: 4
sadness,: 2
groan: 1
thee?: 3
Groan!: 1
why,: 7
no.: 1
sadly: 1
who.: 1
Bid: 2
make: 37
will:: 2
Ah,: 11
word: 13
ill: 6
urged: 2
ill!: 1
cousin,: 4
woman.: 2
aim'd: 1
near,: 1
supposed: 2
loved.: 1
right: 2
mark-man!: 1
she's: 7
mark,: 1
soonest: 1
hit.: 1
hit: 6
miss:: 1
she'll: 2
Cupid's: 2
arrow;: 1
she: 84
Dian's: 1
wit;: 3
strong: 3
proof: 2
chastity: 1
arm'd,: 1
childish: 1
bow: 3
unharm'd.: 1
She: 18
stay: 14
siege: 2
terms,: 1
Nor: 9
bide: 1
encounter: 2
assailing: 1
ope: 2
lap: 1
saint-seducing: 1
gold:: 1
rich: 9
beauty,: 1
only: 9
poor,: 2
dies: 4
store.: 1
Then: 20
sworn: 3
still: 12
live: 8
chaste?: 1
hath,: 1
sparing: 1
huge: 1
waste,: 2
starved: 1
severity: 1
Cuts: 1
posterity.: 1
fair,: 6
wise,: 2
wisely: 2
merit: 2
bliss: 1
making: 2
despair:: 1
forsworn: 1
vow: 2
dead: 13
now.: 4
Be: 10
ruled: 3
me,: 36
forget: 6
think: 16
her.: 2
teach: 3
think.: 1
giving: 2
liberty: 1
unto: 5
thine: 11
Examine: 2
beauties.: 1
way: 6
hers: 2
exquisite,: 1
question: 1
more:: 2
These: 6
masks: 1
kiss: 6
ladies': 1
brows: 2
black: 8
hide: 7
fair;: 1
strucken: 1
blind: 2
cannot: 18
precious: 3
treasure: 1
eyesight: 2
lost:: 1
Show: 2
mistress: 4
passing: 2
doth: 37
serve,: 1
note: 4
read: 3
pass'd: 1
fair?: 2
Farewell:: 2
canst: 7
forget.: 1
doctrine,: 1
else: 7
die: 7
